days,date,Jam,Deposit,Coin,Transaksi,Jumlah,Buy,Sell,Penarikan
Rabu,10,9,100.000,mtc,485,180,1.555.345.355,455,2.000.000
Kamis,28,0,50.000,bnb,401,249,100.000,288,100.000
Senin,17,4,100.000,mtc,364,40,1.555.345.355,229,2.000.000
Senin,20,5,500.000,btc,237,622,100.000,496,2.000.000
Senin,14,11,50.000,btc,325,905,2.000.000,304,2.000.000
Kamis,9,11,100.000,bnb,411,75,1.555.345.355,421,100.000
Minggu,28,4,100.000,mtc,469,586,100.000,376,500.000
Minggu,29,2,100.000,bnb,565,468,2.000.000,258,100.000
Kamis,25,0,50.000,bnb,354,807,100.000,312,2.000.000
Rabu,11,6,500.000,mtc,507,467,2.000.000,123,2.000.000
Jumat,6,9,500.000,btc,396,867,2.000.000,420,500.000
Minggu,24,8,50.000,bnb,377,885,100.000,251,2.000.000
Selasa,10,2,50.000,btc,228,2,100.000,336,2.000.000
Selasa,28,10,100.000,mtc,502,586,100.000,320,2.000.000
Senin,27,0,50.000,mtc,507,868,100.000,240,500.000
Jumat,25,7,100.000,bnb,444,537,2.000.000,275,100.000
Senin,25,11,100.000,bnb,598,128,2.000.000,451,500.000
Selasa,29,11,100.000,bnb,475,672,100.000,353,100.000
Senin,27,4,100.000,bnb,372,731,100.000,322,2.000.000
Kamis,10,1,50.000,btc,491,526,1.555.345.355,432,100.000
Rabu,1,9,50.000,mtc,305,389,1.555.345.355,281,2.000.000
Selasa,29,5,100.000,btc,388,712,2.000.000,219,500.000
Senin,6,9,100.000,btc,447,76,100.000,409,100.000
Minggu,17,9,50.000,bnb,509,578,2.000.000,263,2.000.000
Minggu,1,0,50.000,btc,546,304,2.000.000,363,2.000.000
Senin,7,2,50.000,bnb,441,181,1.555.345.355,498,2.000.000
Minggu,27,11,100.000,mtc,523,811,100.000,221,500.000
Kamis,7,5,100.000,mtc,517,832,100.000,270,2.000.000
Rabu,3,3,100.000,bnb,532,77,2.000.000,354,100.000
Kamis,15,4,100.000,mtc,230,72,1.555.345.355,454,100.000
Senin,14,1,50.000,bnb,497,531,2.000.000,206,100.000
Minggu,8,10,500.000,btc,507,98,2.000.000,438,500.000
Minggu,2,3,50.000,mtc,565,9,2.000.000,413,500.000
Jumat,17,7,50.000,bnb,563,844,100.000,319,500.000
Sabtu,2,1,50.000,mtc,278,924,1.555.345.355,149,500.000
Jumat,18,7,500.000,btc,494,885,2.000.000,195,2.000.000
Kamis,22,0,500.000,bnb,496,207,2.000.000,317,100.000
Jumat,12,3,500.000,bnb,343,768,100.000,135,2.000.000
Senin,1,8,50.000,mtc,218,486,1.555.345.355,126,100.000
Sabtu,6,3,50.000,btc,583,425,100.000,395,500.000
Kamis,18,11,100.000,mtc,407,570,2.000.000,118,500.000
Selasa,9,5,50.000,bnb,365,576,1.555.345.355,271,100.000
Rabu,18,9,100.000,btc,411,820,100.000,118,100.000
Rabu,11,5,100.000,bnb,378,816,100.000,268,500.000
Minggu,10,2,50.000,bnb,310,184,1.555.345.355,259,2.000.000
Minggu,7,10,500.000,btc,261,947,100.000,114,2.000.000
Kamis,13,10,100.000,bnb,389,113,100.000,419,500.000
Sabtu,28,5,500.000,bnb,317,798,1.555.345.355,258,500.000
Senin,17,8,100.000,btc,289,740,100.000,217,100.000
Minggu,22,0,500.000,mtc,419,311,1.555.345.355,392,500.000
Rabu,5,11,50.000,mtc,417,243,1.555.345.355,294,500.000
Senin,5,5,50.000,bnb,211,751,2.000.000,445,2.000.000
Senin,10,1,100.000,mtc,446,866,100.000,318,2.000.000
Sabtu,30,6,50.000,bnb,580,986,100.000,170,2.000.000
Rabu,20,0,100.000,btc,294,875,100.000,335,100.000
Minggu,15,10,500.000,mtc,535,949,100.000,271,2.000.000
Selasa,30,1,100.000,bnb,597,494,2.000.000,389,2.000.000
Kamis,17,5,50.000,bnb,445,285,1.555.345.355,207,500.000
Kamis,15,9,100.000,btc,273,225,100.000,188,2.000.000
Rabu,12,1,50.000,mtc,476,965,100.000,470,100.000
Selasa,4,7,100.000,bnb,449,43,2.000.000,208,2.000.000
Sabtu,13,9,50.000,bnb,243,159,1.555.345.355,407,100.000
Minggu,3,9,100.000,btc,346,579,1.555.345.355,403,2.000.000
Minggu,7,2,50.000,bnb,348,94,100.000,183,100.000
Jumat,5,7,100.000,bnb,582,607,1.555.345.355,341,100.000
Rabu,10,1,100.000,btc,435,47,100.000,253,500.000
Jumat,7,10,50.000,bnb,541,321,2.000.000,171,2.000.000
Jumat,6,5,100.000,btc,216,877,1.555.345.355,415,100.000
Senin,13,8,100.000,mtc,227,121,1.555.345.355,321,2.000.000
Selasa,28,5,500.000,btc,337,735,2.000.000,110,2.000.000
Minggu,9,11,100.000,bnb,440,349,2.000.000,150,500.000
Jumat,25,6,100.000,mtc,227,536,2.000.000,218,500.000
Senin,19,0,50.000,bnb,523,566,2.000.000,407,2.000.000
Rabu,20,1,50.000,mtc,312,199,1.555.345.355,467,500.000
Rabu,7,10,50.000,mtc,527,331,1.555.345.355,104,2.000.000
Sabtu,18,0,100.000,mtc,430,353,1.555.345.355,373,100.000
Rabu,11,0,500.000,btc,439,374,2.000.000,373,100.000
Kamis,28,11,500.000,bnb,488,770,100.000,219,500.000
Sabtu,29,2,100.000,mtc,360,27,1.555.345.355,169,500.000
Minggu,23,3,50.000,bnb,292,828,1.555.345.355,492,500.000
Jumat,17,7,500.000,mtc,506,201,2.000.000,214,100.000
Selasa,19,4,500.000,bnb,504,970,100.000,380,100.000
Rabu,6,10,500.000,mtc,234,291,100.000,491,2.000.000
Rabu,23,8,500.000,btc,318,325,2.000.000,145,100.000
Jumat,7,10,500.000,mtc,378,980,100.000,406,2.000.000
Rabu,20,1,500.000,bnb,418,830,2.000.000,346,2.000.000
Sabtu,15,3,100.000,bnb,383,78,1.555.345.355,490,100.000
Sabtu,21,9,500.000,btc,254,439,1.555.345.355,329,500.000
Senin,12,1,500.000,bnb,274,660,2.000.000,197,2.000.000
Sabtu,18,7,500.000,bnb,263,76,1.555.345.355,113,2.000.000
Kamis,18,6,50.000,mtc,358,229,2.000.000,317,100.000
Senin,16,0,100.000,btc,358,928,2.000.000,125,100.000
Minggu,10,3,500.000,mtc,587,164,100.000,430,500.000
Sabtu,22,10,100.000,mtc,481,750,100.000,392,100.000
Jumat,9,0,100.000,bnb,442,655,1.555.345.355,379,2.000.000
Kamis,27,9,500.000,bnb,468,615,1.555.345.355,340,2.000.000
Rabu,15,10,500.000,mtc,455,144,2.000.000,351,100.000
Rabu,21,3,500.000,bnb,257,230,2.000.000,300,100.000
Sabtu,20,5,100.000,btc,411,577,100.000,333,500.000
Selasa,22,3,500.000,mtc,316,905,100.000,462,2.000.000
Jumat,21,10,100.000,mtc,289,824,2.000.000,431,500.000
Sabtu,27,1,500.000,mtc,519,43,1.555.345.355,254,500.000
Selasa,27,0,50.000,mtc,233,63,2.000.000,137,100.000
Minggu,22,7,50.000,bnb,252,950,100.000,241,500.000
Rabu,9,8,500.000,btc,320,347,1.555.345.355,347,100.000
Senin,27,3,100.000,bnb,285,80,1.555.345.355,476,500.000
Sabtu,8,11,500.000,mtc,405,902,100.000,473,100.000
Kamis,18,1,50.000,mtc,264,109,1.555.345.355,228,100.000
Minggu,13,6,100.000,bnb,559,104,1.555.345.355,409,100.000
Minggu,14,3,100.000,bnb,466,833,100.000,261,2.000.000
Sabtu,7,11,500.000,mtc,323,346,1.555.345.355,351,2.000.000
Minggu,11,3,50.000,mtc,479,69,2.000.000,194,100.000
Kamis,4,1,50.000,btc,498,970,1.555.345.355,220,2.000.000
Selasa,9,3,50.000,mtc,535,850,2.000.000,172,2.000.000
Sabtu,9,9,100.000,mtc,543,195,100.000,496,2.000.000
Sabtu,17,10,50.000,bnb,238,84,2.000.000,476,2.000.000
Kamis,25,11,500.000,mtc,319,438,1.555.345.355,125,500.000
Rabu,23,8,50.000,bnb,539,773,2.000.000,174,2.000.000
Rabu,27,9,500.000,bnb,476,691,2.000.000,429,100.000
Jumat,9,5,100.000,mtc,447,470,2.000.000,180,2.000.000
Minggu,13,9,100.000,mtc,259,294,100.000,160,500.000
Jumat,7,3,500.000,btc,576,927,2.000.000,421,100.000
Selasa,22,5,500.000,bnb,521,790,2.000.000,115,500.000
Jumat,9,11,100.000,bnb,487,251,1.555.345.355,315,2.000.000
Kamis,10,2,500.000,bnb,556,377,1.555.345.355,371,100.000
Minggu,4,4,50.000,mtc,328,253,100.000,481,500.000
Kamis,29,4,500.000,btc,548,725,2.000.000,345,100.000
Rabu,18,5,50.000,mtc,351,2,1.555.345.355,347,100.000
Jumat,17,4,500.000,mtc,539,671,100.000,437,100.000
Jumat,19,2,100.000,mtc,478,474,100.000,200,100.000
Jumat,6,4,100.000,mtc,439,853,100.000,384,100.000
Sabtu,30,4,100.000,mtc,387,513,1.555.345.355,269,100.000
Kamis,20,5,100.000,bnb,273,785,2.000.000,495,2.000.000
Jumat,19,9,100.000,btc,256,478,100.000,330,500.000
Sabtu,1,11,100.000,bnb,260,646,2.000.000,141,100.000
Selasa,16,1,100.000,mtc,487,543,1.555.345.355,429,2.000.000
Selasa,22,8,500.000,btc,487,390,1.555.345.355,375,2.000.000
Kamis,4,11,100.000,mtc,479,417,1.555.345.355,472,2.000.000
Senin,5,2,50.000,btc,262,778,1.555.345.355,233,2.000.000
Selasa,17,2,500.000,mtc,370,118,2.000.000,271,2.000.000
Sabtu,9,4,50.000,mtc,459,281,1.555.345.355,339,2.000.000
Rabu,6,1,500.000,btc,319,552,100.000,393,2.000.000
Senin,12,9,500.000,mtc,243,97,1.555.345.355,125,500.000
Senin,7,10,50.000,mtc,573,891,2.000.000,382,100.000
Jumat,19,0,100.000,bnb,422,800,100.000,446,2.000.000
Jumat,9,1,500.000,bnb,410,414,2.000.000,274,500.000
Kamis,9,5,100.000,bnb,459,341,100.000,308,100.000
Sabtu,17,11,500.000,mtc,542,969,1.555.345.355,122,500.000
Senin,3,9,50.000,mtc,463,132,2.000.000,497,2.000.000
Minggu,2,1,50.000,btc,479,90,1.555.345.355,160,500.000
Sabtu,7,6,50.000,mtc,268,385,1.555.345.355,493,100.000
Rabu,16,5,500.000,bnb,426,193,2.000.000,216,2.000.000
Minggu,9,5,100.000,mtc,317,345,2.000.000,420,100.000
Selasa,28,10,50.000,bnb,596,788,1.555.345.355,181,2.000.000
Kamis,11,1,500.000,mtc,391,953,100.000,443,100.000
Jumat,14,8,100.000,bnb,503,285,2.000.000,446,100.000
Senin,18,11,500.000,btc,577,12,2.000.000,143,500.000
Kamis,21,3,100.000,bnb,247,346,2.000.000,261,500.000
Minggu,21,4,50.000,bnb,417,298,2.000.000,433,500.000
Senin,23,5,50.000,bnb,271,484,100.000,466,2.000.000
Selasa,26,4,100.000,bnb,591,507,100.000,410,2.000.000
Sabtu,16,4,50.000,btc,415,779,2.000.000,336,100.000
Senin,4,8,100.000,bnb,405,407,1.555.345.355,452,500.000
Minggu,10,2,50.000,bnb,390,286,2.000.000,491,2.000.000
Sabtu,24,3,100.000,mtc,594,21,100.000,231,100.000
Rabu,3,5,100.000,btc,524,968,1.555.345.355,197,2.000.000
Selasa,28,8,50.000,mtc,512,233,100.000,388,500.000
Jumat,10,0,100.000,bnb,445,165,100.000,161,2.000.000
Jumat,23,7,100.000,bnb,206,371,100.000,406,500.000
Selasa,17,3,100.000,btc,363,701,2.000.000,395,2.000.000
Jumat,5,7,50.000,mtc,307,109,100.000,197,2.000.000
Jumat,26,2,50.000,mtc,599,370,100.000,331,500.000
Selasa,8,6,500.000,mtc,537,10,2.000.000,170,500.000
Selasa,19,0,500.000,bnb,337,998,1.555.345.355,350,100.000
Selasa,19,7,500.000,bnb,461,826,100.000,300,2.000.000
Kamis,26,0,50.000,mtc,575,216,2.000.000,308,2.000.000
Senin,26,7,500.000,btc,431,863,100.000,256,100.000
Kamis,10,6,100.000,bnb,566,98,100.000,346,100.000
Senin,4,10,500.000,btc,253,313,1.555.345.355,285,2.000.000
Selasa,8,1,100.000,mtc,379,634,1.555.345.355,164,2.000.000
Rabu,25,4,100.000,bnb,416,521,2.000.000,282,500.000
Minggu,15,6,50.000,bnb,399,772,100.000,160,100.000
Rabu,1,5,500.000,bnb,201,41,100.000,217,500.000
Sabtu,18,11,50.000,mtc,332,566,100.000,321,500.000
Rabu,26,6,500.000,mtc,503,915,2.000.000,310,2.000.000
Minggu,26,11,50.000,btc,374,135,1.555.345.355,206,100.000
Senin,14,5,500.000,bnb,517,246,2.000.000,286,500.000
Jumat,26,11,100.000,bnb,387,17,1.555.345.355,150,2.000.000
Rabu,27,9,500.000,bnb,289,707,2.000.000,367,2.000.000
Sabtu,24,8,500.000,btc,216,863,2.000.000,299,500.000
Selasa,12,6,500.000,mtc,427,84,2.000.000,291,2.000.000
Jumat,27,10,500.000,bnb,391,162,100.000,495,500.000
Sabtu,11,1,50.000,btc,213,514,2.000.000,277,2.000.000
Sabtu,5,10,100.000,btc,428,978,2.000.000,209,500.000
Rabu,28,5,100.000,bnb,323,772,2.000.000,198,500.000
Selasa,1,7,500.000,btc,201,519,2.000.000,179,100.000
Senin,17,10,100.000,bnb,424,28,100.000,338,100.000
Selasa,27,7,100.000,mtc,506,695,2.000.000,215,100.000
Minggu,1,11,50.000,bnb,253,196,100.000,391,500.000
Jumat,8,4,500.000,bnb,339,161,100.000,218,500.000
Minggu,4,9,50.000,bnb,460,641,100.000,482,2.000.000
Selasa,8,5,100.000,bnb,440,765,1.555.345.355,139,100.000
Selasa,16,6,50.000,btc,469,739,2.000.000,282,100.000
Selasa,28,4,500.000,bnb,204,342,100.000,138,100.000
Minggu,16,2,50.000,btc,471,263,1.555.345.355,273,100.000
Minggu,9,5,50.000,btc,259,478,2.000.000,109,100.000
Selasa,26,5,100.000,mtc,302,920,2.000.000,298,100.000
Rabu,22,5,50.000,bnb,240,134,2.000.000,470,2.000.000
Sabtu,17,6,50.000,mtc,429,696,1.555.345.355,421,2.000.000
Minggu,11,10,50.000,bnb,443,493,2.000.000,324,500.000
Jumat,26,0,100.000,mtc,344,802,100.000,396,100.000
Rabu,20,10,50.000,bnb,581,268,100.000,438,500.000
Kamis,25,1,100.000,bnb,485,807,2.000.000,200,500.000
Kamis,5,5,500.000,bnb,523,735,2.000.000,386,100.000
Minggu,23,7,500.000,mtc,489,87,100.000,168,100.000
Selasa,25,3,500.000,mtc,529,780,1.555.345.355,370,2.000.000
Kamis,26,10,100.000,mtc,224,195,1.555.345.355,499,500.000
Sabtu,30,10,50.000,mtc,485,616,1.555.345.355,447,2.000.000
Selasa,8,5,500.000,btc,408,778,100.000,372,2.000.000
Rabu,13,8,500.000,mtc,453,675,1.555.345.355,186,2.000.000
Senin,7,5,500.000,mtc,237,480,100.000,497,2.000.000
Selasa,11,5,100.000,bnb,440,785,2.000.000,317,500.000
Jumat,10,1,500.000,btc,506,470,2.000.000,241,2.000.000
Senin,18,4,100.000,bnb,513,866,1.555.345.355,446,2.000.000
Rabu,29,10,50.000,btc,575,839,2.000.000,200,500.000
Rabu,20,4,50.000,bnb,297,914,2.000.000,221,500.000
Rabu,29,7,100.000,bnb,413,24,1.555.345.355,307,100.000
Jumat,11,10,50.000,bnb,251,692,1.555.345.355,145,2.000.000
Senin,8,8,50.000,mtc,296,528,1.555.345.355,375,500.000
Jumat,3,5,50.000,btc,587,639,1.555.345.355,401,2.000.000
Jumat,16,10,50.000,mtc,469,197,100.000,365,2.000.000
Rabu,27,10,500.000,btc,231,892,1.555.345.355,473,500.000
Senin,6,10,100.000,mtc,491,177,1.555.345.355,265,2.000.000
Senin,30,0,100.000,mtc,333,916,100.000,483,2.000.000
Jumat,3,2,500.000,mtc,524,776,2.000.000,243,100.000
Rabu,26,1,500.000,mtc,413,332,2.000.000,269,100.000
Selasa,14,1,500.000,bnb,488,491,1.555.345.355,301,500.000
Jumat,21,10,500.000,btc,423,834,2.000.000,442,2.000.000
Selasa,27,4,100.000,mtc,594,487,1.555.345.355,470,100.000
Sabtu,17,2,50.000,bnb,414,709,2.000.000,381,2.000.000
Kamis,16,3,50.000,btc,464,53,1.555.345.355,144,500.000
Senin,27,2,100.000,bnb,388,495,2.000.000,434,100.000
Senin,27,6,100.000,btc,288,597,2.000.000,206,500.000
Jumat,14,0,500.000,mtc,592,341,1.555.345.355,494,500.000
Kamis,27,6,50.000,bnb,457,804,100.000,345,500.000
Rabu,29,0,100.000,bnb,258,913,2.000.000,277,100.000
Rabu,4,1,500.000,mtc,480,469,100.000,484,100.000
Sabtu,21,5,100.000,btc,371,547,100.000,393,500.000
Jumat,8,2,100.000,bnb,427,627,1.555.345.355,108,500.000
Rabu,23,5,50.000,mtc,547,517,100.000,406,100.000
Jumat,11,4,100.000,btc,327,135,2.000.000,351,2.000.000
Senin,25,3,100.000,mtc,321,906,100.000,126,100.000
Kamis,9,8,500.000,mtc,227,64,100.000,182,100.000
Jumat,8,5,50.000,bnb,446,315,100.000,117,100.000
Senin,1,0,500.000,mtc,441,208,2.000.000,349,100.000
Kamis,25,10,100.000,bnb,354,912,2.000.000,326,100.000
Sabtu,8,2,50.000,btc,508,387,100.000,475,2.000.000
Jumat,5,8,100.000,mtc,316,700,2.000.000,117,2.000.000
Senin,10,7,500.000,btc,410,924,2.000.000,113,100.000
Jumat,12,2,500.000,bnb,273,488,100.000,149,2.000.000
Kamis,21,11,500.000,bnb,267,670,1.555.345.355,201,100.000
Sabtu,19,9,500.000,mtc,344,768,1.555.345.355,453,100.000
Kamis,4,5,100.000,btc,359,937,100.000,128,2.000.000
Senin,27,10,50.000,bnb,245,404,2.000.000,105,500.000
Selasa,3,9,50.000,mtc,520,817,1.555.345.355,191,100.000
Minggu,25,3,100.000,btc,513,423,1.555.345.355,176,500.000
Senin,30,8,50.000,mtc,216,73,2.000.000,405,500.000
Selasa,24,1,500.000,mtc,315,402,2.000.000,311,2.000.000
Senin,3,1,500.000,bnb,476,405,100.000,139,2.000.000
Kamis,13,10,50.000,btc,442,152,1.555.345.355,452,2.000.000
Kamis,18,4,100.000,mtc,294,375,1.555.345.355,352,2.000.000
Sabtu,17,5,50.000,mtc,478,368,2.000.000,204,2.000.000
Selasa,26,10,500.000,mtc,542,506,1.555.345.355,279,500.000
Sabtu,28,4,50.000,bnb,275,655,2.000.000,133,500.000
Selasa,28,10,50.000,mtc,314,145,1.555.345.355,447,2.000.000
Selasa,16,2,100.000,btc,219,698,2.000.000,155,100.000
Senin,20,7,100.000,mtc,450,906,2.000.000,281,500.000
Kamis,28,8,500.000,btc,371,405,2.000.000,180,100.000
Kamis,20,4,50.000,btc,560,273,1.555.345.355,149,100.000
Sabtu,18,0,50.000,btc,511,348,100.000,468,2.000.000
Rabu,27,1,500.000,btc,579,809,1.555.345.355,324,500.000
Sabtu,10,10,100.000,mtc,220,374,1.555.345.355,119,2.000.000
Rabu,14,8,50.000,bnb,290,367,2.000.000,142,100.000
Sabtu,4,7,500.000,mtc,205,635,2.000.000,137,2.000.000
Senin,2,6,100.000,btc,599,369,2.000.000,224,100.000
Kamis,13,3,100.000,bnb,433,907,100.000,359,2.000.000
Jumat,22,7,500.000,bnb,271,913,100.000,394,100.000
Rabu,9,9,50.000,bnb,494,539,100.000,162,100.000
Kamis,2,2,500.000,mtc,363,294,100.000,171,500.000
Minggu,7,4,100.000,bnb,523,281,100.000,212,100.000
Sabtu,7,7,500.000,btc,440,403,100.000,440,500.000
Senin,12,3,50.000,btc,281,832,100.000,143,2.000.000
Kamis,12,4,100.000,mtc,597,531,1.555.345.355,279,2.000.000
Rabu,18,7,100.000,btc,251,170,2.000.000,483,500.000
Selasa,7,4,500.000,bnb,449,112,100.000,351,2.000.000
Rabu,3,7,100.000,bnb,272,704,1.555.345.355,142,100.000
Rabu,20,8,500.000,bnb,282,92,100.000,127,100.000
Selasa,20,8,500.000,btc,521,282,1.555.345.355,363,100.000
Rabu,11,11,500.000,mtc,320,768,100.000,300,100.000
Rabu,26,1,50.000,btc,428,10,2.000.000,298,2.000.000
Jumat,23,2,100.000,bnb,592,641,2.000.000,336,100.000
Selasa,23,6,100.000,bnb,243,706,100.000,382,100.000
Selasa,23,0,500.000,btc,531,732,100.000,495,2.000.000
Sabtu,2,11,500.000,bnb,322,65,100.000,429,500.000
Senin,30,6,50.000,btc,578,629,1.555.345.355,278,100.000
Selasa,3,6,100.000,btc,408,751,100.000,355,500.000
Kamis,20,7,500.000,btc,292,155,2.000.000,438,500.000
Sabtu,8,11,100.000,bnb,272,592,100.000,198,100.000
Kamis,25,7,500.000,bnb,262,16,1.555.345.355,476,500.000
Kamis,6,11,50.000,btc,236,962,2.000.000,241,100.000
Sabtu,22,10,50.000,btc,529,908,1.555.345.355,408,100.000
Senin,10,5,100.000,bnb,306,55,1.555.345.355,373,500.000
Rabu,15,3,500.000,btc,417,212,1.555.345.355,287,500.000
Rabu,19,9,50.000,mtc,330,249,1.555.345.355,398,100.000
Sabtu,14,0,500.000,bnb,293,44,1.555.345.355,184,500.000
Sabtu,24,6,100.000,bnb,427,987,100.000,173,2.000.000
Senin,5,9,500.000,bnb,366,732,2.000.000,408,500.000
Sabtu,14,7,500.000,mtc,258,818,1.555.345.355,376,2.000.000
Minggu,3,9,50.000,mtc,370,515,2.000.000,295,100.000
Minggu,2,4,100.000,btc,335,756,1.555.345.355,129,500.000
Sabtu,12,9,50.000,bnb,364,326,100.000,295,2.000.000
Kamis,9,9,100.000,mtc,414,816,100.000,271,100.000
Selasa,14,10,100.000,btc,264,73,100.000,442,2.000.000
Sabtu,19,8,50.000,btc,385,54,100.000,339,100.000
Rabu,14,6,500.000,btc,485,144,1.555.345.355,354,100.000
Minggu,4,9,50.000,mtc,397,498,1.555.345.355,177,500.000
Sabtu,30,4,100.000,bnb,330,430,1.555.345.355,460,500.000
Rabu,3,10,500.000,bnb,269,184,2.000.000,471,500.000
Sabtu,25,2,500.000,bnb,463,229,2.000.000,333,100.000
Senin,20,5,500.000,mtc,252,167,2.000.000,254,100.000
Rabu,6,7,100.000,mtc,362,517,100.000,283,500.000
Senin,20,10,100.000,mtc,268,97,2.000.000,371,2.000.000
Minggu,29,11,50.000,btc,420,292,2.000.000,478,100.000
Jumat,3,0,50.000,bnb,511,929,100.000,165,100.000
Minggu,5,9,500.000,btc,518,302,100.000,276,100.000
Senin,4,8,500.000,bnb,237,986,100.000,332,2.000.000
Senin,9,8,50.000,mtc,240,302,2.000.000,194,100.000
Selasa,8,1,50.000,mtc,223,271,2.000.000,475,2.000.000
Rabu,30,0,50.000,mtc,355,980,2.000.000,115,500.000
Jumat,4,3,100.000,mtc,542,971,2.000.000,174,100.000
Senin,21,1,50.000,btc,532,619,1.555.345.355,436,2.000.000
Rabu,23,0,50.000,btc,423,664,2.000.000,338,100.000
Selasa,8,3,100.000,btc,473,252,2.000.000,240,2.000.000
Jumat,9,3,500.000,bnb,266,638,1.555.345.355,201,100.000
Minggu,16,9,50.000,bnb,413,19,100.000,353,2.000.000
Rabu,20,4,50.000,mtc,286,307,2.000.000,227,100.000
Sabtu,28,2,100.000,mtc,250,126,1.555.345.355,281,2.000.000
Senin,28,6,50.000,mtc,478,627,100.000,238,2.000.000
Jumat,11,2,50.000,bnb,268,419,1.555.345.355,223,2.000.000
Senin,20,5,500.000,mtc,401,533,2.000.000,127,100.000
Jumat,15,6,100.000,mtc,352,856,100.000,218,500.000
Minggu,18,3,100.000,btc,524,618,100.000,444,2.000.000
Senin,2,1,100.000,mtc,596,888,2.000.000,390,2.000.000
Sabtu,24,5,100.000,btc,427,563,100.000,443,2.000.000
Senin,1,7,100.000,btc,501,674,1.555.345.355,190,100.000
Minggu,22,7,100.000,btc,280,774,100.000,444,100.000
Jumat,19,4,500.000,mtc,310,611,1.555.345.355,498,500.000
Rabu,6,7,50.000,btc,290,651,100.000,498,2.000.000
Senin,25,11,500.000,btc,530,18,100.000,364,100.000
Sabtu,18,6,500.000,mtc,340,207,100.000,449,500.000
Jumat,20,1,500.000,mtc,306,206,100.000,329,2.000.000
Selasa,10,6,50.000,mtc,580,41,2.000.000,355,2.000.000
Senin,10,6,100.000,btc,502,978,100.000,166,500.000
Kamis,25,5,50.000,btc,308,313,100.000,375,500.000
Kamis,3,4,500.000,mtc,519,958,1.555.345.355,353,100.000
Minggu,24,0,50.000,btc,593,919,2.000.000,338,500.000
Senin,12,5,50.000,mtc,572,235,2.000.000,317,500.000
Kamis,26,5,500.000,bnb,384,610,2.000.000,321,500.000
Rabu,6,6,500.000,btc,290,886,1.555.345.355,357,2.000.000
Sabtu,19,11,500.000,mtc,587,461,1.555.345.355,206,100.000
Jumat,19,8,50.000,mtc,516,347,1.555.345.355,491,500.000
Sabtu,20,0,50.000,bnb,265,149,2.000.000,152,100.000
Rabu,11,1,500.000,bnb,479,615,1.555.345.355,121,500.000
Minggu,25,2,500.000,mtc,485,939,1.555.345.355,348,100.000
Rabu,8,0,50.000,btc,301,819,1.555.345.355,462,500.000
Senin,20,0,500.000,bnb,399,908,1.555.345.355,471,2.000.000
Jumat,12,5,100.000,mtc,548,258,100.000,259,100.000
Minggu,25,11,50.000,mtc,516,750,1.555.345.355,483,100.000
Sabtu,18,1,500.000,bnb,526,697,1.555.345.355,470,500.000
Rabu,19,1,500.000,btc,597,235,1.555.345.355,484,500.000
Kamis,12,0,50.000,mtc,252,411,100.000,439,100.000
Rabu,1,2,50.000,mtc,423,951,1.555.345.355,199,500.000
Rabu,16,6,50.000,bnb,587,30,100.000,144,100.000
Rabu,12,0,100.000,btc,455,790,2.000.000,329,2.000.000
Minggu,16,6,100.000,bnb,228,15,1.555.345.355,275,100.000
Sabtu,15,3,100.000,bnb,311,441,100.000,313,2.000.000
Sabtu,28,7,100.000,mtc,274,999,100.000,229,2.000.000
